Gene,logFC,pvalue
205471_s_at,-1.8381069999999995,0.027106433185684925
205472_s_at,-1.1783669999999993,0.03906310099986834
205522_at,1.164895,0.01063974988183657
205595_at,2.3529069999999996,0.047777069026149685
205771_s_at,1.172904,0.041803809339369176
205798_at,-1.8991949999999997,0.029373539616316384
205885_s_at,-1.3363019999999999,0.030649152234180813
205898_at,-1.9380889999999993,0.0017912679022423677
205945_at,-1.0861099999999997,0.016778322161831342
205997_at,-1.4490809999999987,0.02622313285764278
206032_at,2.676789,0.018586627014323946
206033_s_at,3.0386099999999994,0.01789781158085124
206038_s_at,1.0496969999999997,0.048234149164282654
206060_s_at,-1.3072369999999998,0.048396102248269623
206106_at,1.0490920000000008,0.021098066468616658
206108_s_at,-1.8739990000000022,0.006349852819140879
206118_at,-1.2426249999999994,0.04446834190123
206150_at,-1.6331350000000002,0.016684803376055792
206337_at,-1.664366999999999,0.036458474471092905
206364_at,1.3031039999999994,0.02681507842928102
206576_s_at,-1.481278,0.02694607250322114
206641_at,-1.8950679999999993,0.029223127316224746
206666_at,-2.317705,0.04775320264233026
206682_at,-1.2711890000000006,0.013576209133739263
207038_at,-1.9799189999999998,0.039198009739509425
207238_s_at,-1.721845,0.031910167655816675
207264_at,1.0870350000000002,0.0028735791210405806
207265_s_at,1.214993999999999,0.020083611227196343
207417_s_at,1.7476220000000007,0.006146235380091331
207655_s_at,-1.6580399999999988,0.04558534641089392
207761_s_at,-1.4207660000000022,0.0070446653315492155
207957_s_at,-1.2845419999999996,0.03781138751884689
208116_s_at,-1.2636410000000007,0.013364064773099739
208268_at,-1.3323609999999988,0.012444590162726482
208335_s_at,-1.2657120000000002,0.029018129945143807
208443_x_at,1.093055,0.004121988859142355
208450_at,-1.3054380000000005,0.016351514887090354
209098_s_at,1.3929429999999998,0.009088084213979969
209250_at,1.0757580000000004,0.002534756997784499
209447_at,-1.057989,0.024751391618075626
209457_at,-1.6352500000000019,0.02714579062408718
209540_at,-1.1776119999999999,0.016198254843076618
209541_at,-1.4067269999999996,0.01753594366548196
209685_s_at,-1.5917839999999996,0.04351752502250113
209795_at,-1.3817280000000007,0.037884415654184635
209815_at,2.1628740000000004,0.0170526357277593
209823_x_at,-1.7683749999999971,0.012797327741679326
209827_s_at,-1.2515840000000003,0.01326800034958344
209829_at,-1.111625,0.02250216572078012
209879_at,-1.3211930000000018,0.027802642612790366
209890_at,-1.3833710000000012,0.019538929878270665
209900_s_at,1.4414459999999991,0.03622166155951993
209919_x_at,-1.5505900000000015,0.03896407019184354
209924_at,-2.1223160000000005,0.04851444453748383
210072_at,-2.504817,0.04082419606212795
210135_s_at,1.149578,0.020507810764874
210239_at,-1.9962659999999994,0.013437719063382706
210279_at,-1.3486949999999993,0.047205151441292406
210356_x_at,-2.258581000000001,0.03854545691829134
210546_x_at,-2.8225249999999993,0.02653904916163471
